state,year,marketplace_type
NH,2001,pre_ACA
NH,2002,pre_ACA
NH,2003,pre_ACA
NH,2004,pre_ACA
NH,2005,pre_ACA
NH,2006,pre_ACA
NH,2007,pre_ACA
NH,2008,pre_ACA
NH,2009,pre_ACA
NH,2010,pre_ACA
NH,2011,pre_ACA
NH,2012,pre_ACA
NH,2013,pre_ACA
NH,2014,FFM
NH,2015,FFM
NH,2016,FFM
NH,2017,FFM
NH,2018,FFM
NH,2019,FFM
NH,2020,FFM
NH,2021,FFM
NH,2022,FFM
NH,2023,FFM
NJ,2001,pre_ACA
NJ,2002,pre_ACA
NJ,2003,pre_ACA
NJ,2004,pre_ACA
NJ,2005,pre_ACA
NJ,2006,pre_ACA
NJ,2007,pre_ACA
NJ,2008,pre_ACA
NJ,2009,pre_ACA
NJ,2010,pre_ACA
NJ,2011,pre_ACA
NJ,2012,pre_ACA
NJ,2013,pre_ACA
NJ,2014,SBM
NJ,2015,SBM
NJ,2016,SBM
NJ,2017,SBM
NJ,2018,SBM
NJ,2019,SBM
NJ,2020,SBM
NJ,2021,SBM
NJ,2022,SBM
NJ,2023,SBM
NM,2001,pre_ACA
NM,2002,pre_ACA
NM,2003,pre_ACA
NM,2004,pre_ACA
NM,2005,pre_ACA
NM,2006,pre_ACA
NM,2007,pre_ACA
NM,2008,pre_ACA
NM,2009,pre_ACA
NM,2010,pre_ACA
NM,2011,pre_ACA
NM,2012,pre_ACA
NM,2013,pre_ACA
NM,2014,SBM
NM,2015,SBM
NM,2016,SBM
NM,2017,SBM
NM,2018,SBM
NM,2019,SBM
NM,2020,SBM
NM,2021,SBM
NM,2022,SBM
NM,2023,SBM
NV,2001,pre_ACA
NV,2002,pre_ACA
NV,2003,pre_ACA
NV,2004,pre_ACA
NV,2005,pre_ACA
NV,2006,pre_ACA
NV,2007,pre_ACA
NV,2008,pre_ACA
NV,2009,pre_ACA
NV,2010,pre_ACA
NV,2011,pre_ACA
NV,2012,pre_ACA
NV,2013,pre_ACA
NV,2014,SBM
NV,2015,SBM
NV,2016,SBM
NV,2017,SBM
NV,2018,SBM
NV,2019,SBM
NV,2020,SBM
NV,2021,SBM
NV,2022,SBM
NV,2023,SBM
NY,2001,pre_ACA
NY,2002,pre_ACA
NY,2003,pre_ACA
NY,2004,pre_ACA
NY,2005,pre_ACA
NY,2006,pre_ACA
NY,2007,pre_ACA
NY,2008,pre_ACA
NY,2009,pre_ACA
NY,2010,pre_ACA
NY,2011,pre_ACA
NY,2012,pre_ACA
NY,2013,pre_ACA
NY,2014,SBM
NY,2015,SBM
NY,2016,SBM
NY,2017,SBM
NY,2018,SBM
NY,2019,SBM
NY,2020,SBM
NY,2021,SBM
NY,2022,SBM
NY,2023,SBM
OH,2001,pre_ACA
OH,2002,pre_ACA
OH,2003,pre_ACA
OH,2004,pre_ACA
OH,2005,pre_ACA
OH,2006,pre_ACA
OH,2007,pre_ACA
OH,2008,pre_ACA
OH,2009,pre_ACA
OH,2010,pre_ACA
OH,2011,pre_ACA
OH,2012,pre_ACA
OH,2013,pre_ACA
OH,2014,FFM
OH,2015,FFM
OH,2016,FFM
OH,2017,FFM
OH,2018,FFM
OH,2019,FFM
OH,2020,FFM
OH,2021,FFM
OH,2022,FFM
OH,2023,FFM
OK,2001,pre_ACA
OK,2002,pre_ACA
OK,2003,pre_ACA
OK,2004,pre_ACA
OK,2005,pre_ACA
OK,2006,pre_ACA
OK,2007,pre_ACA
OK,2008,pre_ACA
OK,2009,pre_ACA
OK,2010,pre_ACA
OK,2011,pre_ACA
OK,2012,pre_ACA
OK,2013,pre_ACA
OK,2014,FFM
OK,2015,FFM
OK,2016,FFM
OK,2017,FFM
OK,2018,FFM
OK,2019,FFM
OK,2020,FFM
OK,2021,FFM
OK,2022,FFM
OK,2023,FFM
OR,2001,pre_ACA
OR,2002,pre_ACA
OR,2003,pre_ACA
OR,2004,pre_ACA
OR,2005,pre_ACA
OR,2006,pre_ACA
OR,2007,pre_ACA
OR,2008,pre_ACA
OR,2009,pre_ACA
OR,2010,pre_ACA
OR,2011,pre_ACA
OR,2012,pre_ACA
OR,2013,pre_ACA
OR,2014,FFM
OR,2015,FFM
OR,2016,FFM
OR,2017,FFM
OR,2018,FFM
OR,2019,FFM
OR,2020,FFM
OR,2021,FFM
OR,2022,FFM
OR,2023,FFM
PA,2001,pre_ACA
PA,2002,pre_ACA
PA,2003,pre_ACA
PA,2004,pre_ACA
PA,2005,pre_ACA
PA,2006,pre_ACA
PA,2007,pre_ACA
PA,2008,pre_ACA
PA,2009,pre_ACA
PA,2010,pre_ACA
PA,2011,pre_ACA
PA,2012,pre_ACA
PA,2013,pre_ACA
PA,2014,SBM
PA,2015,SBM
PA,2016,SBM
PA,2017,SBM
PA,2018,SBM
PA,2019,SBM
PA,2020,SBM
PA,2021,SBM
PA,2022,SBM
PA,2023,SBM
RI,2001,pre_ACA
RI,2002,pre_ACA
RI,2003,pre_ACA
RI,2004,pre_ACA
RI,2005,pre_ACA
RI,2006,pre_ACA
RI,2007,pre_ACA
RI,2008,pre_ACA
RI,2009,pre_ACA
RI,2010,pre_ACA
RI,2011,pre_ACA
RI,2012,pre_ACA
RI,2013,pre_ACA
RI,2014,SBM
RI,2015,SBM
RI,2016,SBM
RI,2017,SBM
RI,2018,SBM
RI,2019,SBM
RI,2020,SBM
RI,2021,SBM
RI,2022,SBM
RI,2023,SBM
SC,2001,pre_ACA
SC,2002,pre_ACA
SC,2003,pre_ACA
SC,2004,pre_ACA
SC,2005,pre_ACA
SC,2006,pre_ACA
SC,2007,pre_ACA
SC,2008,pre_ACA
SC,2009,pre_ACA
SC,2010,pre_ACA
SC,2011,pre_ACA
SC,2012,pre_ACA
SC,2013,pre_ACA
SC,2014,FFM
SC,2015,FFM
SC,2016,FFM
SC,2017,FFM
SC,2018,FFM
SC,2019,FFM
SC,2020,FFM
SC,2021,FFM
SC,2022,FFM
SC,2023,FFM
SD,2001,pre_ACA
SD,2002,pre_ACA
SD,2003,pre_ACA
SD,2004,pre_ACA
SD,2005,pre_ACA
SD,2006,pre_ACA
SD,2007,pre_ACA
SD,2008,pre_ACA
SD,2009,pre_ACA
SD,2010,pre_ACA
SD,2011,pre_ACA
SD,2012,pre_ACA
SD,2013,pre_ACA
SD,2014,FFM
SD,2015,FFM
SD,2016,FFM
SD,2017,FFM
SD,2018,FFM
SD,2019,FFM
SD,2020,FFM
SD,2021,FFM
SD,2022,FFM
SD,2023,FFM
TN,2001,pre_ACA
TN,2002,pre_ACA
TN,2003,pre_ACA
TN,2004,pre_ACA
TN,2005,pre_ACA
TN,2006,pre_ACA
TN,2007,pre_ACA
TN,2008,pre_ACA
TN,2009,pre_ACA
TN,2010,pre_ACA
TN,2011,pre_ACA
TN,2012,pre_ACA
TN,2013,pre_ACA
TN,2014,FFM
TN,2015,FFM
TN,2016,FFM
TN,2017,FFM
TN,2018,FFM
TN,2019,FFM
TN,2020,FFM
TN,2021,FFM
TN,2022,FFM
TN,2023,FFM
TX,2001,pre_ACA
TX,2002,pre_ACA
TX,2003,pre_ACA
TX,2004,pre_ACA
TX,2005,pre_ACA
TX,2006,pre_ACA
TX,2007,pre_ACA
TX,2008,pre_ACA
TX,2009,pre_ACA
TX,2010,pre_ACA
TX,2011,pre_ACA
TX,2012,pre_ACA
TX,2013,pre_ACA
TX,2014,FFM
TX,2015,FFM
TX,2016,FFM
TX,2017,FFM
TX,2018,FFM
TX,2019,FFM
TX,2020,FFM
TX,2021,FFM
TX,2022,FFM
TX,2023,FFM
UT,2001,pre_ACA
UT,2002,pre_ACA
UT,2003,pre_ACA
UT,2004,pre_ACA
UT,2005,pre_ACA
UT,2006,pre_ACA
UT,2007,pre_ACA
UT,2008,pre_ACA
UT,2009,pre_ACA
UT,2010,pre_ACA
UT,2011,pre_ACA
UT,2012,pre_ACA
UT,2013,pre_ACA
UT,2014,FFM
UT,2015,FFM
UT,2016,FFM
UT,2017,FFM
UT,2018,FFM
UT,2019,FFM
UT,2020,FFM
UT,2021,FFM
UT,2022,FFM
UT,2023,FFM
VA,2001,pre_ACA
VA,2002,pre_ACA
VA,2003,pre_ACA
VA,2004,pre_ACA
VA,2005,pre_ACA
VA,2006,pre_ACA
VA,2007,pre_ACA
VA,2008,pre_ACA
VA,2009,pre_ACA
VA,2010,pre_ACA
VA,2011,pre_ACA
VA,2012,pre_ACA
VA,2013,pre_ACA
VA,2014,FFM
VA,2015,FFM
VA,2016,FFM
VA,2017,FFM
VA,2018,FFM
VA,2019,FFM
VA,2020,FFM
VA,2021,FFM
VA,2022,FFM
VA,2023,FFM
VT,2001,pre_ACA
VT,2002,pre_ACA
VT,2003,pre_ACA
VT,2004,pre_ACA
VT,2005,pre_ACA
VT,2006,pre_ACA
VT,2007,pre_ACA
VT,2008,pre_ACA
VT,2009,pre_ACA
VT,2010,pre_ACA
VT,2011,pre_ACA
VT,2012,pre_ACA
VT,2013,pre_ACA
VT,2014,SBM
VT,2015,SBM
VT,2016,SBM
VT,2017,SBM
VT,2018,SBM
VT,2019,SBM
VT,2020,SBM
VT,2021,SBM
VT,2022,SBM
VT,2023,SBM
WA,2001,pre_ACA
WA,2002,pre_ACA
WA,2003,pre_ACA
WA,2004,pre_ACA
WA,2005,pre_ACA
WA,2006,pre_ACA
WA,2007,pre_ACA
WA,2008,pre_ACA
WA,2009,pre_ACA
WA,2010,pre_ACA
WA,2011,pre_ACA
WA,2012,pre_ACA
WA,2013,pre_ACA
WA,2014,SBM
WA,2015,SBM
WA,2016,SBM
WA,2017,SBM
WA,2018,SBM
WA,2019,SBM
WA,2020,SBM
WA,2021,SBM
WA,2022,SBM
WA,2023,SBM
WI,2001,pre_ACA
WI,2002,pre_ACA
WI,2003,pre_ACA
WI,2004,pre_ACA
WI,2005,pre_ACA
WI,2006,pre_ACA
WI,2007,pre_ACA
WI,2008,pre_ACA
WI,2009,pre_ACA
WI,2010,pre_ACA
WI,2011,pre_ACA
WI,2012,pre_ACA
WI,2013,pre_ACA
WI,2014,FFM
WI,2015,FFM
WI,2016,FFM
WI,2017,FFM
WI,2018,FFM
WI,2019,FFM
WI,2020,FFM
WI,2021,FFM
WI,2022,FFM
WI,2023,FFM
WY,2001,pre_ACA
WY,2002,pre_ACA
WY,2003,pre_ACA
WY,2004,pre_ACA
WY,2005,pre_ACA
WY,2006,pre_ACA
WY,2007,pre_ACA
WY,2008,pre_ACA
WY,2009,pre_ACA
WY,2010,pre_ACA
WY,2011,pre_ACA
WY,2012,pre_ACA
WY,2013,pre_ACA
WY,2014,FFM
WY,2015,FFM
WY,2016,FFM
WY,2017,FFM
WY,2018,FFM
WY,2019,FFM
WY,2020,FFM
WY,2021,FFM
WY,2022,FFM
WY,2023,FFM
