state,year,median_household_income,population
NV,2019,63276.0,3080156.0
NH,2019,77933.0,1359711.0
NJ,2019,85751.0,8882190.0
NM,2019,51945.0,2096829.0
NY,2019,72108.0,19453561.0
NC,2019,57341.0,10488084.0
ND,2019,64577.0,762062.0
OH,2019,58642.0,11689100.0
OK,2019,54449.0,3956971.0
OR,2019,67058.0,4217737.0
PA,2019,63463.0,12801989.0
RI,2019,71169.0,1059361.0
SC,2019,56227.0,5148714.0
SD,2019,59533.0,884659.0
TN,2019,56071.0,6829174.0
TX,2019,64034.0,28995881.0
VT,2019,63001.0,623989.0
UT,2019,75780.0,3205958.0
VA,2019,76456.0,8535519.0
WA,2019,78687.0,7614893.0
WI,2019,64168.0,5822434.0
WY,2019,65003.0,578759.0
IL,2019,69187.0,12671821.0
GA,2019,61980.0,10617423.0
ID,2019,60999.0,1787065.0
HI,2019,83102.0,1415872.0
IN,2019,57603.0,6732219.0
IA,2019,61691.0,3155070.0
KS,2019,62087.0,2913314.0
KY,2019,52295.0,4467673.0
LA,2019,51073.0,4648794.0
ME,2019,58924.0,1344212.0
MD,2019,86738.0,6045680.0
MA,2019,85843.0,6892503.0
MI,2019,59584.0,9986857.0
MN,2019,74593.0,5639632.0
CT,2019,78833.0,3565287.0
FL,2019,59227.0,21477737.0
AL,2019,51734.0,4903185.0
AK,2019,75463.0,731545.0
AZ,2019,62055.0,7278717.0
AR,2019,48952.0,3017804.0
CA,2019,80440.0,39512223.0
CO,2019,77127.0,5758736.0
DE,2019,70176.0,973764.0
DC,2019,92266.0,705749.0
AL,2021,53913.0,5039877.0
AZ,2021,69056.0,7276316.0
AR,2021,52528.0,3025891.0
CA,2021,84907.0,39237836.0
CO,2021,82254.0,5812069.0
CT,2021,83771.0,3605597.0
DE,2021,71091.0,1003384.0
DC,2021,90088.0,670050.0
FL,2021,63062.0,21781128.0
GA,2021,66559.0,10799566.0
HI,2021,84857.0,1441553.0
ID,2021,66474.0,1900923.0
IL,2021,72205.0,12671469.0
IN,2021,62743.0,6805985.0
IA,2021,65600.0,3193079.0
KS,2021,64124.0,2934582.0
KY,2021,55573.0,4509394.0
LA,2021,52087.0,4624047.0
ME,2021,64767.0,1372247.0
MD,2021,90203.0,6165129.0
MA,2021,89645.0,6984723.0
MI,2021,63498.0,10050811.0
MN,2021,77720.0,5707390.0
MS,2021,48716.0,2949965.0
MO,2021,61847.0,6168187.0
MT,2021,63249.0,1104271.0
NE,2021,66817.0,1963692.0
NV,2021,66274.0,3143991.0
NH,2021,88465.0,1388992.0
NJ,2021,89296.0,9267130.0
NM,2021,53992.0,2115877.0
NY,2021,74314.0,19835913.0
NC,2021,61972.0,10551162.0
ND,2021,66519.0,774948.0
OH,2021,62262.0,11780017.0
OK,2021,55826.0,3986639.0
OR,2021,71562.0,4246155.0
PA,2021,68957.0,12964056.0
RI,2021,74008.0,1095610.0
SC,2021,59318.0,5190705.0
SD,2021,66143.0,895376.0
TN,2021,59695.0,6975218.0
TX,2021,66963.0,29527941.0
UT,2021,79449.0,3337975.0
VT,2021,72431.0,645570.0
VA,2021,80963.0,8642274.0
WA,2021,84247.0,7738692.0
WI,2021,67125.0,5895908.0
WY,2021,65204.0,578803.0
AK,2021,77845.0,732673.0
AL,2022,59674.0,5074296.0
AK,2022,88121.0,733583.0
AZ,2022,74568.0,7359197.0
AR,2022,55432.0,3045637.0
CA,2022,91551.0,39029342.0
CO,2022,89302.0,5839926.0
CT,2022,88429.0,3626205.0
DE,2022,82174.0,1018396.0
DC,2022,101027.0,671803.0
FL,2022,69303.0,22244823.0
GA,2022,72837.0,10912876.0
HI,2022,92458.0,1440196.0
ID,2022,72785.0,1939033.0
IL,2022,76708.0,12582032.0
IN,2022,66785.0,6833037.0
IA,2022,69588.0,3200517.0
KS,2022,68925.0,2937150.0
KY,2022,59341.0,4512310.0
LA,2022,55416.0,4590241.0
ME,2022,69543.0,1385340.0
MD,2022,94991.0,6164660.0
MA,2022,94488.0,6981974.0
MI,2022,66986.0,10034118.0
MN,2022,82338.0,5717184.0
MS,2022,52719.0,2940057.0
